"lang"
{
	"Language"	"TChinese"
		"DOTA_Tooltip_Ability_item_agility_ingot" "迅捷钢"
		"DOTA_Tooltip_Ability_item_intelligence_ingot" "技巧钢"
		"DOTA_Tooltip_Ability_item_power_ingot" "强化钢"
		"DOTA_Tooltip_Ability_item_regeneration_ingot" "再生钢"
		"DOTA_Tooltip_Ability_item_spirit_ingot" "回魔钢"
		"DOTA_Tooltip_Ability_item_health_ingot" "生命钢"
		"DOTA_Tooltip_Ability_item_mana_ingot" "法力钢"
		"DOTA_Tooltip_Ability_item_energy_ingot" "能量钢"
		"DOTA_Tooltip_Ability_item_the_red_lightning_chapter" "赤雷卷"
		"DOTA_Tooltip_Ability_item_the_red_lightning_chapter_hyper" "真．赤雷卷"
		"DOTA_Tooltip_Ability_item_the_overflame_art_of_war" "大炎上之书"
		"DOTA_Tooltip_Ability_item_the_overflame_art_of_war_hyper" "真．大炎上之书"
		"DOTA_Tooltip_Ability_item_the_art_of_war_tornado_chapter" "孙子兵法．风之章"
		"DOTA_Tooltip_Ability_item_the_art_of_war_forest_chapter" "孙子兵法．林之章"
		"DOTA_Tooltip_Ability_item_the_art_of_war_flame_chapter" "孙子兵法．火之章"
		"DOTA_Tooltip_Ability_item_the_art_of_war_mountain_chapter" "孙子兵法．山之章"
		"DOTA_Tooltip_Ability_item_katana" "打刀"
		"DOTA_Tooltip_Ability_item_tachi" "太刀"
		"DOTA_Tooltip_Ability_item_naginata" "薙刀"
		"DOTA_Tooltip_Ability_item_staff" "杵杖"
		"DOTA_Tooltip_Ability_item_cursed_katana" "妖刀"
		"DOTA_Tooltip_Ability_item_spear" "长枪"
		"DOTA_Tooltip_Ability_item_insight_gem" "洞察宝石"
		"DOTA_Tooltip_Ability_item_healing_totem" "疗愈图腾"
		"DOTA_Tooltip_Ability_item_rations" "军粮丸"
		"DOTA_Tooltip_Ability_item_perceive_wine" "般若汤"
		"DOTA_Tooltip_Ability_item_frozen_ring" "冻牙轮"
		"DOTA_Tooltip_Ability_item_ancient_doll" "久弃邪物"
		"DOTA_Tooltip_Ability_item_tea_bowl" "茶碗"
		"DOTA_Tooltip_Ability_item_lightning_scroll" "雷之卷"
		"DOTA_Tooltip_Ability_item_wind_scroll" "风之卷"
		"DOTA_Tooltip_Ability_item_forest_scroll" "林之卷"
		"DOTA_Tooltip_Ability_item_fire_scroll" "火之卷"
		"DOTA_Tooltip_Ability_item_mountain_scroll" "山之卷"
		"DOTA_Tooltip_Ability_item_thunderbolt_book" "怒雷之书"
		"DOTA_Tooltip_Ability_item_rockfall_book" "落石之书"
		"DOTA_Tooltip_Ability_item_flood_book" "水计之书"
		"DOTA_Tooltip_Ability_item_ignite_book" "火计之书"
		"DOTA_Tooltip_Ability_item_storm_book" "狂风之书"
		"DOTA_Tooltip_Ability_item_spell_book" "法术书"
		"DOTA_Tooltip_Ability_item_the_lost_art_of_war_1" "孙子兵法残册"
		"DOTA_Tooltip_Ability_item_the_lost_art_of_war_2" "孙子兵法断简"
		"DOTA_Tooltip_Ability_item_the_art_of_war" "孙子兵法全本"
		"DOTA_Tooltip_Ability_item_the_over_lightning_art_of_war" "无上雷暴之书"
		
		"DOTA_Tooltip_Ability_" ""
		
		"DOTA_Tooltip_Ability_item_pleated_skirt" "褶裙"
		"DOTA_Tooltip_Ability_item_pleated_skirt_Description" "移动速度+80<br /><font color=\"#cc0000\">唯一物品，移动速度不得累计。</font>"

		"DOTA_Tooltip_Ability_item_rations" "军粮丸"
		"DOTA_Tooltip_Ability_item_rations_Description" "回复420生命值和210法力。可使用2次。"

		"DOTA_Tooltip_Ability_item_glass_mitsutomo" "琉璃光姬"
		"DOTA_Tooltip_Ability_item_glass_mitsutomo_Description" "智慧+10， 法力+400。每秒回复1%生命。增加10%移动速度。<br /><font color=\"#5bc0de\">【使用】创造一个疗愈结界，每秒回复结界当中友军2%生命值，持续15秒。</font>"

		"DOTA_Tooltip_Ability_item_staff" "杵杖"
		"DOTA_Tooltip_Ability_item_staff_Description" "智慧+10"

		"DOTA_Tooltip_Ability_item_cursed_katana" "妖刀"
		"DOTA_Tooltip_Ability_item_cursed_katana_Description" "攻击伤害+42"

		"DOTA_Tooltip_Ability_item_katana" "打刀"
		"DOTA_Tooltip_Ability_item_katana_Description" "攻击伤害+14，攻击速度+15%"

		"DOTA_Tooltip_Ability_item_tachi" "太刀"
		"DOTA_Tooltip_Ability_item_tachi_Description" "灵活+10"

		"DOTA_Tooltip_Ability_item_naginata" "薙刀"
		"DOTA_Tooltip_Ability_item_naginata_Description" "力量+10"

		"DOTA_Tooltip_Ability_item_spear" "长枪"
		"DOTA_Tooltip_Ability_item_spear_Description" "攻击伤害+14"

		"DOTA_Tooltip_Ability_item_lesser_shield" "足轻盾"
		"DOTA_Tooltip_Ability_item_lesser_shield_Description" "护甲+3"

		"DOTA_Tooltip_Ability_item_lesser_armor" "短甲"
		"DOTA_Tooltip_Ability_item_lesser_armor_Description" "50%机率减少受到的50攻击伤害"

		"DOTA_Tooltip_Ability_item_flame_armor" "鳞片甲"
		"DOTA_Tooltip_Ability_item_flame_armor_Description" "护甲+3，每秒对周围350敌人造成40伤害"

		"DOTA_Tooltip_Ability_item_stable_shield" "番头盾"
		"DOTA_Tooltip_Ability_item_stable_shield_Description" "护甲+5"

		"DOTA_Tooltip_Ability_item_body_wrap" "胴丸"
		"DOTA_Tooltip_Ability_item_body_wrap_Description" "护甲+10"

		"DOTA_Tooltip_Ability_item_speed_clothes" "疾风衣"
		"DOTA_Tooltip_Ability_item_speed_clothes_Description" "攻速+25%"

		"DOTA_Tooltip_Ability_item_insight_gem" "洞察宝石"
		"DOTA_Tooltip_Ability_item_insight_gem_Description" "携带时可被动侦测到范围600内隐形单位。<br />【使用】侦测1200内隐形部队，并在使其现形10秒。<br /><font color=\"#cc0000\">死亡时掉落，不得售回</font>"

		"DOTA_Tooltip_Ability_item_healing_totem" "疗愈图腾"
		"DOTA_Tooltip_Ability_item_healing_totem_Description" "【使用】形成一个医疗区域治好附近的友方部队，每秒恢复2%最大生命值，持续15秒。<br /><font color=\"#cc0000\">医疗效果不得叠加</font>"

		"DOTA_Tooltip_Ability_item_frozen_ring" "冻牙轮"
		"DOTA_Tooltip_Ability_item_frozen_ring_Description" "【使用】施展霜之新星，对周围敌人造成275伤害并缓慢跑速30%，持续3.5秒。"

		"DOTA_Tooltip_Ability_item_ancient_doll" "久弃邪物"
		"DOTA_Tooltip_Ability_item_ancient_doll_Description" "攻击伤害+7。每当英雄施展技能或是使用物品，便可以在久弃邪物上增加1充能次数，上限6次。<br /><font color=\"#5bc0de\">【使用】消耗全部的充能次数，每消耗1次，便可以对目标敌人造成50伤害，并且自身回复造成伤害一半的生命值。</font></font>"
				
		"DOTA_Tooltip_Ability_item_lightning_scroll"	"雷之卷"
		"DOTA_Tooltip_Ability_item_lightning_scroll_Description"	"【使用】施展分叉闪电，可对多个敌人造成350伤害。"

		"DOTA_Tooltip_Ability_item_wind_scroll" "风之卷"
		"DOTA_Tooltip_Ability_item_wind_scroll_Description" "召换风之阵，使范围内友军增加15%移动速度， 持续22秒。"

		"DOTA_Tooltip_Ability_item_mountain_scroll" "山之卷"
		"DOTA_Tooltip_Ability_item_mountain_scroll_Description" "增加自身50护甲，持续5秒。"

		"DOTA_Tooltip_Ability_item_fire_scroll" "火之卷"
		"DOTA_Tooltip_Ability_item_fire_scroll_Description" "周围友军增加40%攻击伤害，持续8秒。"

		"DOTA_Tooltip_Ability_item_forest_scroll" "林之卷"
		"DOTA_Tooltip_Ability_item_forest_scroll_Description" "召换1名下级伏兵先锋以及1名下级伏兵军师加入战斗。伏兵存在30秒。<br /><font color=\"#cc0000\">唯一物品</font>"

		"DOTA_Tooltip_Ability_item_thunderbolt_book" "怒雷之书"
		"DOTA_Tooltip_Ability_item_thunderbolt_book_Description" "智慧+20<br />【使用】产生强大的电能结附于自身，每当英雄施展技能或是使用物品，将会额外多耗费75法力，并对周围的敌人造成190闪电伤害。再次使用可关闭此状态。<br /><font color=\"#cc0000\">使用物品包含将怒雷之书切换至启动状态。</font>"

		"DOTA_Tooltip_Ability_item_rockfall_book" "落石之书"
		"DOTA_Tooltip_Ability_item_rockfall_book_Description" "智慧+20<br />【使用】从天上召唤一颗落石对指定区域造成560伤害<br /><font color=\"#cc0000\">并无视魔法免疫的中断动作</font>。"

		"DOTA_Tooltip_Ability_item_flood_book" "水计之书"
		"DOTA_Tooltip_Ability_item_flood_book_Description" "智慧+20<br />【使用】在指定地点召唤涌泉，冲击范围内的敌人造成300伤害，并且将之击退。<br /><font color=\"#cc0000\">无视魔法免疫</font>"

		"DOTA_Tooltip_Ability_item_ignite_book" "火计之书"
		"DOTA_Tooltip_Ability_item_ignite_book_Description" "智慧+20<br />【使用】对指定区域造出一场大火，造成560伤害，接下来每秒造成100伤害，持续5秒。<br /><font color=\"#cc0000\">可对建筑物造成25%伤害。</font>"

		"DOTA_Tooltip_Ability_item_spell_book" "法术书"
		"DOTA_Tooltip_Ability_item_spell_book_Description" "对敌方施展－降低目标敌人30%移动速度， 持续7秒。<br />对友方施展－目标友军在26秒内回复780生命值。"

		"DOTA_Tooltip_Ability_item_storm_book" "狂风之书"
		"DOTA_Tooltip_Ability_item_storm_book_Description" "智慧+20<br />【使用】对指定方向每秒召唤17个龙卷风，每个龙卷风造成68伤害，持续8秒。<br /><font color=\"#cc0000\">无视魔法免疫</font>"


		"DOTA_Tooltip_Ability_item_strength_ingot" "蛮力钢"
		"DOTA_Tooltip_Ability_item_strength_ingot_Description" "力量+5"

		"DOTA_Tooltip_Ability_item_agility_ingot" "迅捷钢"
		"DOTA_Tooltip_Ability_item_agility_ingot_Description"  "敏捷+5"

		"DOTA_Tooltip_Ability_item_intelligence_ingot" "技巧钢"
		"DOTA_Tooltip_Ability_item_intelligence_ingot_Description" "智慧+5"

		"DOTA_Tooltip_Ability_item_power_ingot" "强化钢"
		"DOTA_Tooltip_Ability_item_power_ingot_Description" "攻击伤害+7" 

		"DOTA_Tooltip_Ability_item_regeneration_ingot" "再生钢"
		"DOTA_Tooltip_Ability_item_regeneration_ingot_Description" "每秒回复10生命值"

		"DOTA_Tooltip_Ability_item_spirit_ingot" "回魔钢"
		"DOTA_Tooltip_Ability_item_spirit_ingot_Description" "魔力回复+150%"

		"DOTA_Tooltip_Ability_item_health_ingot" "生命钢"
		"DOTA_Tooltip_Ability_item_health_ingot_Description" "生命+300"

		"DOTA_Tooltip_Ability_item_mana_ingot" "法力钢"
		"DOTA_Tooltip_Ability_item_mana_ingot_Description" "魔力+200"

		"DOTA_Tooltip_Ability_item_energy_ingot" "能量钢" 
		"DOTA_Tooltip_Ability_item_energy_ingot_Description" "全能力+10" 

		"DOTA_Tooltip_Ability_item_protection_amulet" "御守"
		"DOTA_Tooltip_Ability_item_protection_amulet_Description" "自动抵挡一次魔法技能。30秒内不得重复发动。"

		"DOTA_Tooltip_Ability_item_brave_ring" "武尊环"
		"DOTA_Tooltip_Ability_item_brave_ring_Description" "攻击时15%机率造成2倍伤害。"

		"DOTA_Tooltip_Ability_item_samurai's_badge" "侍的徽章"
		"DOTA_Tooltip_Ability_item_samurai's_badge_Description" "全能力+5"


		"DOTA_Tooltip_Ability_item_the_great_sword_of_disease" "池田鬼神丸国重．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_disease_Description" "智慧+25，灵活+20，生命+500，周围非英雄友军增加40%攻击伤害。<br />【使用】召唤一只强大的疫鬼神，将拥有吸收精气、反魔结界、疫病云、黏稠毒浆、坏灭箭能力，疫鬼神的能力随持有者等级而增加，最多能存在70秒。"


		"DOTA_Tooltip_Ability_item_the_great_sword_of_soul" "菊一文字则宗．太刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_soul_Description" "攻击伤害+50，灵活+25<br />【使用】对目标敌人使出摄魂，使他无法施展法术以及使用物品，持续5秒。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_precision" "长船．太刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_precision_Description" "攻击伤害+80，攻击时25%机率造成3倍攻击。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_anger" "鬼撤．妖刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_anger_Description" "攻击伤害+60，智慧+20，灵活+20。<br />【使用】对指定区域召唤血红落雷，造成800伤害并且晕眩1秒。<br /><font color=\"#cc0000\">无视魔法免疫晕眩</font>。"

		"DOTA_Tooltip_Ability_item_true_katana" "正宗．武士刀"
		"DOTA_Tooltip_Ability_item_true_katana_Description" "攻击伤害+75，攻速+70% ，伤害加成20% 。降低所受的法术伤害35% 但减伤不可叠加。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_tiger" "长曾弥虎撤．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_tiger_Description" "攻击伤害+50，力量+25。攻击时30%机率击晕0.2秒并造成280额外伤害。<br /><font color=\"#cc0000\">魔法免疫晕眩0.1秒</font>"

		"DOTA_Tooltip_Ability_item_muramasa_katana" "妖刀．村正"
		"DOTA_Tooltip_Ability_item_muramasa_katana_Description" "攻击伤害+150。每次攻击吸取造成伤害的45% 生命值。<br />【使用】释放藏于妖刀当中的力量，攻速+150%，持续10秒。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_invincible" "葵纹越前康继．御神刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_invincible_Description" "攻击伤害+40，全属性+30。<br />【使用】释放御神术，使自身进入无敌状态，免疫所有伤害以及法术效果，持续2秒。"

		"DOTA_Tooltip_Ability_item_the_great_spear_of_dragonfly" "蜻蛉切．铭枪"
		"DOTA_Tooltip_Ability_item_the_great_spear_of_dragonfly_Description" "攻击伤害+50，力量+25。增加15% 移动速度。每秒回复1% 最大生命值。攻击时有20% 机率可以造成300的扩散伤害。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_hurricane" "铁碎牙．妖刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_hurricane_Description" "攻击伤害+60，护甲+10。每1.0秒随机对周围的一个敌人释放风之伤，可以造成320伤害。<br />【使用】召唤风阵，风阵内的所有敌人减慢190%攻速，降低10护甲，持续20秒。<br /><font color=\"#cc0000\">装备铁碎牙者，其分身同样具有铁碎牙被动伤害效果。</font>"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_spike" "鬼丸国钢．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_spike_Description" "攻击伤害+40，智慧+20，全属性+10。<br />【使用】使出地狱尖刺，将周围的敌人刺到空中并重重摔下，造成250伤害并晕眩1.1秒。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_new_moon" "三日月宗近．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_new_moon_Description" "攻击伤害+50，智慧+40。<br />【使用】燃烧目标敌人最多1000法力，并造成等量伤害。<br /><font color=\"#cc0000\">伤害依施放目标当前法力为准。</font>"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_toxic" "梅莺毒．妖刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_toxic_Description" "攻击伤害+40，灵活+20。每次攻击使敌人中毒，每秒造成55伤害并减缓移动速度25%，持续2秒。<br />【使用】对目标敌人射出一只剧毒之箭造成560的初始伤害，接下来每秒造成50伤害，持续5秒。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_teleport" "陆奥守吉行．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_teleport_Description" "攻击伤害+75，攻速+65% 。25% 机率格挡攻击。<br />【使用】传送到战场上任一非英雄友军身旁，需要3秒的施法时间。"


		"DOTA_Tooltip_Ability_item_the_great_sword_of_drain" "吉光骨食．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_drain_Description" "攻击伤害+75，智慧+20，灵活+15。每秒对附近500内敌人造成150伤害。<br />【使用】吸收目标敌人的生命脉动，回复500生命值，并造成500魔法伤害。<br /><font color=\"#cc0000\">范围伤害效果唯一。魔法免疫伤害减半</font>"


		"DOTA_Tooltip_Ability_item_the_great_sword_of_weakness" "天之丛云"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_weakness_Description" "攻击伤害+105，力量+20，智慧+30。<br />【使用】使敌人卸甲归田，变为毫无战力的平民，持续0.6秒，持有者每40智慧可以使此效果增加0.6秒，最多4.8秒。<br /><font color=\"#cc0000\">无视魔法免疫，魔法免疫效果最多持续1秒</font>"


		"DOTA_Tooltip_Ability_item_the_great_sword_of_banish" "大典太光世．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_banish_Description" "护甲+10，智慧+40，攻速+70% 。<br />【使用】对目标敌人造成等同自身智慧x3.5的伤害，并且放逐他3秒，被放逐的敌人无法被一般攻击所伤，但也无法进行攻击，并且减缓50% 移动速度，受到魔法伤害时为1.33倍。"

		"DOTA_Tooltip_Ability_item_the_great_sword_of_berserker" "数珠丸恒次．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_berserker_Description" "攻击伤害+80，生命+600。<br />【使用】解放数珠丸恒次的力量，永久增加<font color=\"#5bc0de\">25%  总攻击伤害</font>以及<font color=\"#5bc0de\"> 70% 攻速</font>，<font color=\"#f0ad4e\">但是增加所受的法术伤害25% 以及降低15护甲</font>，再次使用取消此效果。<br /><font color=\"#cc0000\">启动与取消冷却时间皆为30秒。</font>"


		"DOTA_Tooltip_Ability_item_the_great_sword_of_disarmament" "童子切安钢．铭刀"
		"DOTA_Tooltip_Ability_item_the_great_sword_of_disarmament_Description" "攻击伤害+50，灵活+20，使周围敌军的护甲降低10。<br />【使用】使增加灵活的效果提升为+50，并使降低周围敌军护甲的效果提升为20，持续20秒。<br /><font color=\"#cc0000\">负面效果对魔免无效</font>"

		"DOTA_Tooltip_Ability_item_napalm_bomb" "爆烈弹"
		"DOTA_Tooltip_Ability_item_napalm_bomb_Description" "对指定地点投掷爆裂弹，对范围内敌人造成600伤害。"

		"DOTA_Tooltip_Ability_item_shuriken" "手里剑"
		"DOTA_Tooltip_Ability_item_shuriken_Description" "对目标敌人投掷手里剑，造成250魔法伤害。可使用6次。"

		"DOTA_Tooltip_Ability_item_blowgun" "吹箭"
		"DOTA_Tooltip_Ability_item_blowgun_Description" "使500距离的目标敌人晕眩1.5秒并造成50魔法伤害。"

		"DOTA_Tooltip_Ability_item_sake" "清酒"
		"DOTA_Tooltip_Ability_item_sake_Description" "喝下去之后可以使自身的移动速度提升30% ，持续10秒，可使用2次。<br /><font color=\"#cc0000\">血量低于50%时效果减半，满血量时无法使用。</font>"

		"DOTA_Tooltip_Ability_item_wolverine" "精钢爪"
		"DOTA_Tooltip_Ability_item_wolverine_Description" "攻击伤害+50"
		
		"DOTA_Tooltip_Ability_item_ax" "巨斧"
		"DOTA_Tooltip_Ability_item_ax_Description" "攻击伤害+38，力量+5"
		
		"DOTA_Tooltip_Ability_item_kat_steel" "吉钢铁"
